what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1341264327671
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1341264327765
os,sysinfo,,,"win32",1341264327765
arch,sysinfo,,,"x86_64",1341264327765
ws,sysinfo,,,"win32",1341264327765
locale,sysinfo,,,"en_US",1341264327765
processors,sysinfo,,,"4",1341264327765
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341264327765
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1341264327765
java.specification.name,sysinfo,,,"Java Platform API Specification",1341264327765
java.specification.vendor,sysinfo,,,"Oracle Corporation",1341264327765
java.specification.version,sysinfo,,,"1.7",1341264327765
java.vendor,sysinfo,,,"Oracle Corporation",1341264327765
java.version,sysinfo,,,"1.7.0_02",1341264327765
java.vm.info,sysinfo,,,"mixed mode",1341264327765
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1341264327765
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1341264327765
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1341264327765
java.vm.specification.version,sysinfo,,,"1.7",1341264327765
java.vm.vendor,sysinfo,,,"Oracle Corporation",1341264327765
java.vm.version,sysinfo,,,"22.0-b10",1341264327765
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1341264327812
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1341264328000
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1341264328359
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1341264328453
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1341264328453
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1341264328656
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1341264328671
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1341264328953
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1341264329062
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1341264329250
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1341264329937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264330765
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1341264331968
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1341264353375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264362718
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341264364406
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341264364437
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341264364453
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341264365312
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341264365312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264370750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264373140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1341264373156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264381078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264383140
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.edit.text.openLocalFile",1341264383140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264496156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264498671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1341264498671
started,bundle,org.eclipse.wb.core.ui,1.1.0.r37x201109091028,"org.eclipse.wb.core.ui",1341264501453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264505296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264525187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264526203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264552640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264554843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264571437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1341264571453
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1341264576062
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1341264576156
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341264578203
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341264578234
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1341264579562
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1341264581218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264588750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264588750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264588859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264599921
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341264616828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264628281
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341264632593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264632625
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1341264632640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1341264632640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264635687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264664750
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1341264664765
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341264673484
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341264673515
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1341264683093
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1341264683890
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1341264684000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264684078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264685437
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341264686546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264689156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264692546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264695218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264698109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264698156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264700562
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1341264726921
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1341264726968
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1341264727296
started,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1341264727390
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1341264727687
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1341264727703
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1341264727796
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1341264727812
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1341264727890
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1341264727984
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1341264729312
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1341264729390
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341264734515
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1341264734515
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341264736031
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341264736031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264738046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264739421
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1341264739437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1341264739437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264744609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264746203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264749687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264755968
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341264756750
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1341264757468
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1341264758078
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1341264758109
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1341264758125
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1341264758171
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1341264758171
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1341264758187
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1341264758187
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1341264758187
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1341264758187
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1341264758187
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1341264758265
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1341264758265
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1341264758265
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1341264758312
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1341264758328
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1341264758328
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1341264758343
stopped,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1341264758359
stopped,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1341264758359
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1341264758375
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1341264758390
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1341264758406
